"loan_amnt","term","int_rate","installment","grade","emp_length","home_ownership","annual_inc","verification_status","purpose","dti","delinq_2yrs","earliest_cr_line","inq_last_6mths","open_acc","pub_rec","revol_bal","revol_util","total_acc","recoveries","collections_12_mths_ex_med","acc_now_delinq","tot_coll_amt","tot_cur_bal","total_rev_hi_lim","class"
28000," 36 months",13.65,952.23,"C","10+ years","MORTGAGE",79588.54,"Source Verified","home_improvement",10.36,0,"Jul-1977",1,9,0,1371,7.8,30,0,0,0,0,24977,19000,0
6250," 36 months",12.85,210.14,"B","3 years","MORTGAGE",45000,"Source Verified","debt_consolidation",23.79,0,"Dec-2006",2,9,1,3469,14,14,0,0,0,0,231838,24700,0
15250," 36 months",12.12,507.4,"B","10+ years","MORTGAGE",80000,"Not Verified","credit_card",6.51,2,"Nov-1983",0,11,0,10732,50.6,49,0,0,0,0,10732,21200,0
6000," 36 months",11.14,196.84,"B","3 years","MORTGAGE",59321,"Not Verified","credit_card",12.32,0,"Oct-2005",0,12,0,7361,57.5,20,0,0,0,0,158037,12800,0
20075," 60 months",22.99,565.81,"F","1 year","MORTGAGE",41857.71,"Source Verified","house",32.51,0,"Feb-2007",0,8,0,7054,36.9,12,0,0,0,0,37860,19100,0
9500," 36 months",18.75,347.04,"D","5 years","RENT",35000,"Not Verified","credit_card",18.56,0,"Jan-2008",3,11,0,12434,56.5,15,0,0,0,0,21798,22000,0
20000," 60 months",17.57,503.21,"D","10+ years","MORTGAGE",66000,"Verified","debt_consolidation",22.44,0,"Feb-1992",1,14,1,15089,80.7,32,0,0,0,0,135599,18700,0
15000," 60 months",15.61,361.67,"C","7 years","MORTGAGE",65000,"Source Verified","credit_card",15.51,0,"Jun-2001",1,9,1,4514,49.6,41,0,0,0,4281,259955,9100,0
12000," 36 months",13.11,404.97,"B","2 years","RENT",50000,"Not Verified","debt_consolidation",18.22,0,"Jun-1992",1,12,1,12722,43.9,27,0,0,0,0,24858,29000,0
5000," 36 months",12.99,168.45,"B","10+ years","MORTGAGE",140000,"Not Verified","debt_consolidation",12.89,0,"Jul-1997",3,15,0,24028,56.3,45,0,0,0,0,448579,42700,0
12775," 60 months",15.61,308.03,"D","1 year","MORTGAGE",66000,"Not Verified","debt_consolidation",19.16,0,"Apr-2002",0,9,1,4025,50.9,31,0,0,0,0,284819,7900,0
6400," 36 months",6.99,197.59,"A","5 years","RENT",150000,"Verified","car",3.35,0,"Sep-1996",1,4,1,2955,36.5,31,0,0,0,0,7512,8100,0
16950," 36 months",12.12,563.96,"B","< 1 year","RENT",58000,"Verified","debt_consolidation",21.68,1,"Sep-1995",0,13,0,7689,52,39,0,0,0,0,66878,14800,0
6500," 36 months",9.17,207.22,"B","4 years","RENT",64500,"Not Verified","debt_consolidation",9.75,0,"Apr-2008",0,4,0,7311,69.6,8,0,0,0,0,9831,10500,0
16000," 60 months",20.99,432.77,"E","9 years","MORTGAGE",175000,"Verified","home_improvement",26.02,0,"Mar-1990",5,17,0,374979,57.6,37,0,0,0,0,958026,484600,0
8400," 36 months",18.85,307.28,"D","5 years","RENT",109000,"Not Verified","major_purchase",11.12,0,"Jul-2004",1,5,0,8272,91.9,16,0,0,0,0,48174,9000,0
8875," 36 months",18.49,323.04,"D","< 1 year","RENT",31360,"Verified","small_business",19.36,0,"Jul-2004",0,16,0,5055,67.4,28,0,0,0,0,55293,7500,0
25000," 36 months",7.62,779.04,"A","10+ years","MORTGAGE",147000,"Verified","credit_card",13.28,0,"Oct-2002",1,10,0,21296,67.2,26,0,0,0,0,389378,31700,0
25000," 60 months",17.86,632.94,"D","10+ years","MORTGAGE",95000,"Not Verified","debt_consolidation",24.56,0,"Aug-2002",2,23,0,24885,68.9,56,0,0,0,0,265561,36100,0
20000," 36 months",10.99,654.68,"B","4 years","RENT",60000,"Verified","debt_consolidation",17.45,0,"Oct-1985",1,15,0,33157,72.9,27,0,0,0,0,33157,45500,0
10625," 36 months",9.99,342.79,"B","n/a","RENT",32706,"Verified","home_improvement",21.24,0,"Aug-1983",0,15,0,7841,17.1,26,0,0,0,0,11756,45900,0
19200," 36 months",14.49,660.79,"C","10+ years","MORTGAGE",60000,"Not Verified","debt_consolidation",11.7,0,"Sep-1993",0,6,0,7185,84.5,24,0,0,0,0,304686,8500,0
14050," 60 months",17.57,353.5,"D","5 years","OWN",115000,"Source Verified","small_business",20.94,2,"Jan-2005",0,9,0,6357,77.3,20,0,0,0,724,355201,8300,0
15000," 36 months",11.55,495,"B","2 years","RENT",98000,"Source Verified","debt_consolidation",10.59,0,"Nov-1999",3,12,0,9538,46.8,28,0,0,0,0,28230,20400,0
5000," 36 months",9.67,160.57,"B","n/a","RENT",20840,"Verified","debt_consolidation",24.83,0,"May-1978",2,6,0,3139,29.9,23,0,0,0,0,22032,10500,0
32000," 60 months",15.61,771.57,"D","10+ years","MORTGAGE",98831,"Verified","credit_card",23.47,0,"Nov-1994",0,17,1,17591,80.7,29,0,0,0,0,283529,21800,0
15000," 36 months",13.67,510.27,"B","n/a","MORTGAGE",55000,"Verified","debt_consolidation",5.48,0,"Feb-1999",1,6,1,6621,80.7,19,0,0,0,71,127354,8200,0
